id,label,subcategory,franchise,fandom_wiki,requested_page,resolved_page,status,source_page,image_file,local_path,resolution_method,original_width,original_height,saved_width,saved_height,error,notes
character-animated-gru,Gru,animated-characters,DreamWorks,dreamworks,Gru,Grug Crood,downloaded,https://dreamworks.fandom.com/wiki/Grug_Crood,File:Grug Crood Profile.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-gru.webp,portable-infobox,1200,1200,1200,1200,,
character-animated-minion,Minion,animated-characters,DreamWorks,dreamworks,Minion,Minion,downloaded,https://dreamworks.fandom.com/wiki/Minion,File:Minion Profile.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-minion.webp,portable-infobox,1086,801,1086,801,,
character-animated-megamind,Megamind,animated-characters,DreamWorks,dreamworks,Megamind,Megamind (franchise),downloaded,https://dreamworks.fandom.com/wiki/Megamind_(franchise),File:Megamind franchise.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-megamind.webp,portable-infobox,1200,675,1200,675,,
character-animated-boss-baby,Boss Baby,animated-characters,DreamWorks,dreamworks,Boss Baby,The Boss Baby (franchise),downloaded,https://dreamworks.fandom.com/wiki/The_Boss_Baby_(franchise),File:The Boss Baby franchise.jpg,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-boss-baby.webp,portable-infobox,1200,675,1200,675,,
character-animated-spongebob,SpongeBob,animated-characters,SpongeBob SquarePants,spongebob,SpongeBob,SpongeBob SquarePants (character),downloaded,https://spongebob.fandom.com/wiki/SpongeBob_SquarePants_(character),File:Spongebob happy stock art 1.octet-stream.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-spongebob.webp,portable-infobox,1200,1183,1200,1183,,
character-animated-patrick-star,Patrick Star,animated-characters,SpongeBob SquarePants,spongebob,Patrick Star,Patrick Star,downloaded,https://spongebob.fandom.com/wiki/Patrick_Star,File:Patrick stock art (oil pianted).png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-patrick-star.webp,portable-infobox,1200,1200,1200,1200,,
character-animated-squidward,Squidward,animated-characters,SpongeBob SquarePants,spongebob,Squidward,Squidward Tentacles,downloaded,https://spongebob.fandom.com/wiki/Squidward_Tentacles,File:Squidward unhappy stock art.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-squidward.webp,portable-infobox,1200,1200,1200,1200,,
character-animated-mr-krabs,Mr. Krabs,animated-characters,SpongeBob SquarePants,spongebob,Mr. Krabs,Eugene H. Krabs,downloaded,https://spongebob.fandom.com/wiki/Eugene_H._Krabs,File:Eugene Krabs.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-mr-krabs.webp,portable-infobox,1200,1200,1200,1200,,
character-animated-sandy-cheeks,Sandy Cheeks,animated-characters,SpongeBob SquarePants,spongebob,Sandy Cheeks,Sandy Cheeks,downloaded,https://spongebob.fandom.com/wiki/Sandy_Cheeks,File:Sandy arm out (oil painted).png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-sandy-cheeks.webp,portable-infobox,1200,1200,1200,1200,,
character-animated-aang,Aang,animated-characters,Avatar,avatar,Aang,Aang,downloaded,https://avatar.fandom.com/wiki/Aang,File:Aang at Jasmine Dragon.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-aang.webp,portable-infobox,333,250,333,250,,
character-animated-katara,Katara,animated-characters,Avatar,avatar,Katara,Katara,downloaded,https://avatar.fandom.com/wiki/Katara,File:Katara smiles at coronation.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-katara.webp,portable-infobox,333,250,333,250,,
character-animated-zuko,Zuko,animated-characters,Avatar,avatar,Zuko,Zuko,downloaded,https://avatar.fandom.com/wiki/Zuko,File:Zuko.png,C:/Users/Lukeo/OneDrive/Desktop/website project/mrsmith/assets/images/clue-items/characters/animated-characters/character-animated-zuko.webp,portable-infobox,333,250,333,250,,
